TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0002181	"cytoplasmic translation"	-51.6305426111098	5.207542813955311	0.3974763229665376	0.9209671529584307	0	null
GO:0006412	"translation"	-18.52393750719497	6.250564173903532	4.38869169324396	0.9019781515513704	0.6792736	null
GO:0043043	"peptide biosynthetic process"	43043	-17.553464999614416	6.2703058580872275	4.592791896959665	0.907226516203338	0.90013146	6412
GO:1903047	"mitotic cell cycle process"	-12.852456268858393	5.587271959896469	0.9528882663283861	0.7651640464317331	0.0103512	null
GO:0022613	"ribonucleoprotein complex biogenesis"	-9.96437161366903	6.012651239385551	2.5375929564430133	0.8678984238669338	0.65931649	null
GO:0044770	"cell cycle phase transition"	-9.115384819143332	4.810568529216413	0.15934298703043864	0.808049567089942	0.68949383	null
GO:0042254	"ribosome biogenesis"	-9.021234815969308	5.937876312844991	2.136224808753416	0.8505346470023619	0.01239921	null
GO:1901988	"negative regulation of cell cycle phase transition"	-8.889625382751223	5.116322104773598	0.32217358139661445	0.642127316316267	0	null
GO:0010948	"negative regulation of cell cycle process"	10948	-8.84934971671633	5.147991498370762	0.3465449321639423	0.6447916961494267	0.97523427	1901988
GO:0044774	"mitotic DNA integrity checkpoint signaling"	44774	-8.495029736705344	4.779416098947068	0.14831327478490952	0.4796708337427186	0.92157076	1901988
GO:1901991	"negative regulation of mitotic cell cycle phase transition"	1901991	-7.99002309633211	4.865003239818871	0.18062108888868514	0.6509293522740643	0.93663736	1901988
GO:0000075	"cell cycle checkpoint signaling"	75	-7.908793008738114	5.057376985097583	0.2812835420327422	0.5998156168700938	0.97236903	1901988
GO:0031570	"DNA integrity checkpoint signaling"	31570	-7.859068857682734	4.912110412022776	0.20131504732744773	0.6072332337303592	0.9451421	1901988
GO:0044773	"mitotic DNA damage checkpoint signaling"	44773	-7.7855607629077594	4.681503544394468	0.11837654072140184	0.47837067809438366	0.96727036	1901988
GO:0000077	"DNA damage checkpoint signaling"	77	-7.7527580464323975	4.813013566884096	0.1602426171912472	0.6021338102558679	0.9568549	1901988
GO:0007093	"mitotic cell cycle checkpoint signaling"	7093	-7.664914626126956	4.947894241533786	0.21860519959613756	0.4687828310775201	0.95170646	1901988
GO:0045930	"negative regulation of mitotic cell cycle"	45930	-6.752788471778362	5.037872516373799	0.2689302643177496	0.6508590096056626	0.95401994	1901988
GO:1901990	"regulation of mitotic cell cycle phase transition"	1901990	-5.551199621395224	5.062499253590347	0.2846208002183168	0.6558771231404377	0.92507254	1901988
GO:0097193	"intrinsic apoptotic signaling pathway"	-8.74480639288521	4.41458899436304	0.06402409056756754	0.779251515388577	0.15725886	null
GO:0006261	"DNA-templated DNA replication"	-8.033783334262026	5.572113829184322	0.9202033469791208	0.8622245782647168	0.20551559	null
GO:0045786	"negative regulation of cell cycle"	-8.010431436068636	5.184344992501657	0.3768020824491078	0.667053450631507	0.82216473	null
GO:0010564	"regulation of cell cycle process"	-7.9756491174682305	5.4444679487119725	0.6858632461594173	0.6580480562622338	0.88097293	null
GO:0042770	"signal transduction in response to DNA damage"	-7.791530497231425	4.836210145933471	0.1690343453655047	0.7766239735558625	0.4445152	null
GO:0044772	"mitotic cell cycle phase transition"	-7.758478617813985	4.806519134080705	0.15786414293047943	0.7749718188283684	0.7913315	null
GO:0000082	"G1/S transition of mitotic cell cycle"	82	-3.166782200339528	4.342304220718211	0.054207030484004964	0.7900521286839814	0.9206873	44772
GO:0044843	"cell cycle G1/S phase transition"	44843	-3.0696286480879977	4.345530558034622	0.05461124787132716	0.8052456691791139	0.92117714	44772
GO:0042255	"ribosome assembly"	-7.714754820274223	5.027349607774757	0.2624923630025938	0.8420969902272142	0.73159365	null
GO:1901987	"regulation of cell cycle phase transition"	-7.674946411414621	5.267458033614329	0.4562751643809159	0.6578999600637185	0.89722783	null
GO:0042274	"ribosomal small subunit biogenesis"	-7.130315930082805	5.393476927541059	0.6098827010436794	0.8644875620714843	0.8005385	null
GO:0072331	"signal transduction by p53 class mediator"	-7.121894572865278	4.08019341942848	0.029643429983682437	0.8098972182078371	0.39451702	null
GO:0000079	"regulation of cyclin-dependent protein serine/threonine kinase activity"	-7.082569954380362	2.110589710299249	0.00031548674132463224	0.6928678458295848	0.7786013	null
GO:0006260	"DNA replication"	-7.0274408188052915	5.781032624416109	1.488685807444442	0.884134407883552	0.61057325	null
GO:0051338	"regulation of transferase activity"	-6.958594097764583	3.9946250537686048	0.02434177388532865	0.8171028905651444	0.129406	null
GO:0051438	"regulation of ubiquitin-protein transferase activity"	51438	-3.8008274019021036	3.934649922900711	0.021201694913081926	0.8173352448896786	0.97384677	51338
GO:1904666	"regulation of ubiquitin protein ligase activity"	1904666	-3.2253070352815594	3.932423026376739	0.021093246345751583	0.8173840857203739	0.98313492	51338
GO:0007346	"regulation of mitotic cell cycle"	-6.728667502211029	5.271255959383742	0.4602828318918054	0.667720464754527	0.89798495	null
GO:1904029	"regulation of cyclin-dependent protein kinase activity"	-6.685187280065528	2.1335389083702174	0.00033273992249082307	0.6921478510106293	0.83498672	null
GO:0071900	"regulation of protein serine/threonine kinase activity"	71900	-4.545968438500333	2.710963118995276	0.0012644117054651275	0.7925384502771411	0.96054452	1904029
GO:0045859	"regulation of protein kinase activity"	45859	-4.394279915383752	3.024895960107485	0.002607695096261413	0.7855701713993201	0.90519489	1904029
GO:0097190	"apoptotic signaling pathway"	-6.289317005676284	4.702413302195562	0.12421551017607413	0.7895480482371291	0.78411935	null
GO:0071103	"DNA conformation change"	-6.065380483164394	5.523840077089552	0.8233982121957907	0.8452205744323044	0.55870698	null
GO:0071826	"protein-RNA complex organization"	-6.050538447456272	5.422391194154993	0.6518695497816881	0.8857365844830362	0.37217301	null
GO:0042273	"ribosomal large subunit biogenesis"	-6.005625612518808	5.12315555918394	0.3272829877619735	0.8713851635568658	0.74846113	null
GO:0044786	"cell cycle DNA replication"	-5.958969077392211	4.593119851103941	0.09657837868800304	0.7392986707987249	0.71269512	null
GO:0045787	"positive regulation of cell cycle"	-5.894102847038607	4.766502076537479	0.14396793787119605	0.6498357855402183	0.75775483	null
GO:1902750	"negative regulation of cell cycle G2/M phase transition"	-5.827947566033281	4.635935901443889	0.10658522376439371	0.6606663537735871	0.89737152	null
GO:0044818	"mitotic G2/M transition checkpoint"	44818	-5.88590535803749	4.507383555736387	0.07927590271848023	0.49443996560066605	0.93375015	1902750
GO:0007095	"mitotic G2 DNA damage checkpoint signaling"	7095	-5.746402292126793	4.279712560820926	0.04693111751220564	0.500785334407828	0.9366681	1902750
GO:0010972	"negative regulation of G2/M transition of mitotic cell cycle"	10972	-5.613122243927265	4.594215702370579	0.0968223879644963	0.659608191657995	0.9711175	1902750
GO:0010389	"regulation of G2/M transition of mitotic cell cycle"	10389	-3.979644467924045	4.723307871828162	0.1303379247499053	0.6653177019182225	0.96817328	1902750
GO:0022618	"protein-RNA complex assembly"	-5.813783407786069	5.400884940989838	0.6203750999328901	0.8506158750814307	0.80206787	null
GO:0051276	"chromosome organization"	-5.7127993444971406	5.792913230069284	1.5299726699751368	0.8593777558188125	0.41173461	null
GO:1902969	"mitotic DNA replication"	-5.625746772721824	4.470601573789659	0.07283800140332447	0.7143246755190684	0.73980038	null
GO:0033260	"nuclear DNA replication"	33260	-5.2106157010823955	4.582949238100234	0.09434285935689803	0.7258340000107879	0.97752423	1902969
GO:1902292	"cell cycle DNA replication initiation"	1902292	-3.0347808458323127	4.127202017590354	0.03303244771275563	0.7436528874834212	0.91021124	1902969
GO:1902315	"nuclear cell cycle DNA replication initiation"	1902315	-3.0347808458323127	4.127169613599896	0.03302998297258903	0.7421056182773739	0.99959054	1902969
GO:1902975	"mitotic DNA replication initiation"	1902975	-3.0347808458323127	4.12668326338829	0.03299301187009005	0.7268191668672397	0.91323051	1902969
GO:0007005	"mitochondrion organization"	-5.588477005201035	5.526081985113034	0.8276597479438399	0.8670146648949112	0.55902836	null
GO:0140694	"non-membrane-bounded organelle assembly"	-5.287730936689949	5.467516353957471	0.7232459602662196	0.8444175495857393	0.78040097	null
GO:1902749	"regulation of cell cycle G2/M phase transition"	-5.228288302652975	4.768719477597614	0.14470489518100904	0.6733790546970041	0.87409726	null
GO:0044839	"cell cycle G2/M phase transition"	-5.196101786639072	3.8758133888397577	0.018515128131489353	0.8177005013525712	0.85495195	null
GO:0006268	"DNA unwinding involved in DNA replication"	-5.108026983765312	4.824503317192729	0.1645386593016287	0.7532128238571554	0.74690971	null
GO:1901798	"positive regulation of signal transduction by p53 class mediator"	-4.982174712247662	3.246498580795801	0.0043453369137134885	0.8009525775514208	0.13045237	null
GO:0015931	"nucleobase-containing compound transport"	-4.9723710803203724	5.366361311053548	0.5729682875685309	0.9748376511964306	0	null
GO:0006271	"DNA strand elongation involved in DNA replication"	-4.902612308891	4.760354619608416	0.14194438619441851	0.8734822044343773	0.73709929	null
